abandoned 	 JJ
glasses 	 NN
glass 	 NN
global 	 JJ
glove 	 NN
glue 	 NN
glue 	 VB
goal 	 NN
god 	 NN
gold 	 JJ
gold 	 NN
good 	 JJ
goodbye 	 EXCLAM
goodbye 	 NN
good 	 NN
goods 	 NN
go 	 VB
government 	 NN
governor 	 NN
govern 	 VB
grab 	 VB
grade 	 NN
grade 	 VB
gradual 	 JJ
gradually 	 ADVB
graduate 	 NN
graduate 	 VB
grain 	 NN
grammar 	 NN
grand 	 JJ
grandchild 	 NN
granddaughter 	 NN
grandfather 	 NN
grandmother 	 NN
grandparent 	 NN
grandson 	 NN
grant 	 NN
grant 	 VB
grass 	 NN
grateful 	 JJ
grave 	 JJ
grave 	 NN
gray 	 JJ
gray 	 NN
great 	 JJ
greatly 	 ADVB
green 	 JJ
green 	 NN
groceries 	 NN
grocery 	 JJ
ground 	 NN
group 	 NN
growth 	 NN
grow 	 VB
guarantee 	 NN
guarantee 	 VB
guard 	 NN
guard 	 VB
guess 	 NN
guess 	 VB
guest 	 NN
guide 	 NN
guide 	 VB
guilty 	 JJ
guitar 	 NN
gun 	 NN
guy 	 NN
habit 	 NN
hairdresser 	 NN
hair 	 NN
half 	 ADVB
half 	 DET
half 	 NN
half 	 PRNOUN
hall 	 NN
hammer 	 NN
handle 	 NN
handle 	 VB
hand 	 NN
hand 	 VB
hang 	 VB
happen 	 VB
happily 	 ADVB
happiness 	 NN
happy 	 JJ
hard 	 JJ
hard 	 ADVB
hardly 	 ADVB
harmful 	 JJ
harmless 	 JJ
harm 	 NN
harm 	 VB
hate 	 NN
hate 	 VB
hat 	 NN
hatred 	 NN
have 	 AUX
have 	 VB
headache 	 NN
head 	 NN
head 	 VB
health 	 NN
healthy 	 JJ
heal 	 VB
hearing 	 NN
heart 	 NN
hear 	 VB
heating 	 NN
heat 	 NN
heat 	 VB
heaven 	 NN
heavily 	 ADVB
heavy 	 JJ
heel 	 NN
height 	 NN
hell 	 NN
hello 	 EXCLAM
hello 	 NN
helpful 	 JJ
help 	 NN
help 	 VB
he 	 PRNOUN
her 	 DET
here 	 ADVB
hero 	 NN
her 	 PRNOUN
herself 	 PRNOUN
hers 	 PRNOUN
hesitate 	 VB
hide 	 VB
hi 	 EXCLAM
high 	 JJ
high 	 ADVB
highlight 	 NN
highlight 	 VB
highly 	 ADVB
highschool 	 NN
highway 	 NN
hill 	 NN
him 	 PRNOUN
himself 	 PRNOUN
hip 	 NN
hire 	 VB
his 	 DET
his 	 PRNOUN
historical 	 JJ
history 	 NN
hit 	 NN
hit 	 VB
hobby 	 NN
hold 	 NN
hold 	 VB
hole 	 NN
holiday 	 NN
hollow 	 JJ
holy 	 JJ
home 	 ADVB
home 	 NN
homework 	 NN
honest 	 JJ
honestly 	 ADVB
honor 	 NN
hook 	 NN
hopefully 	 ADVB
hope 	 NN
hope 	 VB
horizontal 	 JJ
horn 	 NN
horror 	 NN
horse 	 NN
hospital 	 NN
host 	 NN
host 	 VB
hot 	 JJ
hotel 	 NN
hour 	 NN
household 	 JJ
household 	 NN
house 	 NN
housing 	 NN
how 	 ADVB
however 	 ADVB
huge 	 JJ
human 	 JJ
human 	 NN
humor 	 NN
humorous 	 JJ
hungry 	 JJ
hunting 	 NN
hunt 	 VB
hurry 	 NN
hurry 	 VB
hurt 	 VB
husband 	 NN
ice-cream 	 NN
ice 	 NN
ideal 	 JJ
ideally 	 ADVB
ideal 	 NN
idea 	 NN
identify 	 VB
identity 	 NN
i.e. 	 ABBR
if 	 CONJ
ignore 	 VB
ill 	 JJ
illegal 	 JJ
illegally 	 ADVB
illness 	 NN
illustrate 	 VB
image 	 NN
imaginary 	 JJ
imagination 	 NN
imagine 	 VB
immediate 	 JJ
immediately 	 ADVB
immoral 	 JJ
impact 	 NN
impatient 	 JJ
impatiently 	 ADVB
implication 	 NN
imply 	 VB
importance 	 NN
important 	 JJ
importantly 	 ADVB
import 	 NN
import 	 VB
impose 	 VB
impossible 	 JJ
impressed 	 JJ
impression 	 NN
impressive 	 JJ
impress 	 VB
improvement 	 NN
improve 	 VB
inability 	 NN
in 	 ADVB
inch 	 NN
incident 	 NN
include 	 VB
including 	 PREP
income 	 NN
increase 	 NN
increase 	 VB
increasingly 	 ADVB
indeed 	 ADVB
independence 	 NN
independent 	 JJ
independently 	 ADVB
index 	 NN
indicate 	 VB
indication 	 NN
indirect 	 JJ
indirectly 	 ADVB
individual 	 JJ
individual 	 NN
indoor 	 JJ
indoors 	 ADVB
industrial 	 JJ
industry 	 NN
inevitable 	 JJ
inevitably 	 ADVB
infected 	 JJ
infection 	 NN
infectious 	 JJ
infect 	 VB
influence 	 NN
influence 	 VB
informal 	 JJ
information 	 NN
inform 	 VB
ingredient 	 NN
initial 	 JJ
initially 	 ADVB
initial 	 NN
initiative 	 NN
injured 	 JJ
injure 	 VB
injury 	 NN
ink 	 NN
inner 	 JJ
innocent 	 JJ
in 	 PREP
inquiry 	 NN
insect 	 NN
insert 	 VB
inside 	 JJ
inside 	 ADVB
inside 	 NN
inside 	 PREP
insist 	 VB
install 	 VB
instance 	 NN
instead 	 ADVB
institute 	 NN
institution 	 NN
instruction 	 NN
instrument 	 NN
insulting 	 JJ
insult 	 NN
insult 	 VB
insurance 	 NN
intellectual 	 JJ
intelligence 	 NN
intelligent 	 JJ
intended 	 JJ
intend 	 VB
intense 	 JJ
intention 	 NN
interested 	 JJ
interesting 	 JJ
interest 	 NN
interest 	 VB
interior 	 JJ
interior 	 NN
internal 	 JJ
international 	 JJ
Internet 	 NN
interpretation 	 NN
interpret 	 VB
interruption 	 NN
interrupt 	 VB
interval 	 NN
interview 	 NN
interview 	 VB
into 	 PREP
introduce 	 VB
introduction 	 NN
invention 	 NN
invent 	 VB
investigate 	 VB
investigation 	 NN
investment 	 NN
invest 	 VB
invitation 	 NN
invite 	 VB
involvement 	 NN
involve 	 VB
I 	 PRNOUN
iron 	 NN
iron 	 VB
irritated 	 JJ
irritate 	 VB
irritating 	 JJ
island 	 NN
issue 	 NN
issue 	 VB
it 	 DET
item 	 NN
it 	 PRNOUN
its 	 DET
itself 	 PRNOUN
jacket 	 NN
jail 	 NN
January 	 NN
jealous 	 JJ
jeans 	 NN
jelly 	 NN
jewelry 	 NN
job 	 NN
joint 	 JJ
jointly 	 ADVB
joint 	 NN
join 	 VB
joke 	 NN
joke 	 VB
journalist 	 NN
journey 	 NN
joy 	 NN
judgement 	 NN
judge 	 NN
judge 	 VB
judgment 	 NN
juice 	 NN
July 	 NN
jump 	 NN
jump 	 VB
June 	 NN
junior 	 JJ
junior 	 NN
jury 	 NN
just 	 ADVB
justice 	 NN
justified 	 JJ
justify 	 VB
keen 	 JJ
keep 	 VB
key 	 JJ
keyboard 	 NN
key 	 NN
kick 	 NN
kick 	 VB
kid 	 NN
kid 	 VB
killing 	 NN
kill 	 VB
kilogram 	 NN
kilo 	 NN
kind 	 JJ
kindly 	 ADVB
kindness 	 NN
kind 	 NN
king 	 NN
kiss 	 NN
kiss 	 VB
kitchen 	 NN
knee 	 NN
knife 	 NN
knock 	 NN
knock 	 VB
knot 	 NN
knowledge 	 NN
know 	 VB
label 	 NN
label 	 VB
lab 	 NN
laboratory 	 NN
labor 	 NN
lacking 	 JJ
lack 	 NN
lack 	 VB
lady 	 NN
lake 	 NN
lamp 	 NN
land 	 NN
landscape 	 NN
land 	 VB
lane 	 NN
language 	 NN
large 	 JJ
largely 	 ADVB
last 	 ADVB
last 	 DET
last 	 NN
last 	 VB
late 	 JJ
late 	 ADVB
lately 	 ADVB
later 	 JJ
later 	 ADVB
latest 	 JJ
latest 	 NN
latter 	 JJ
latter 	 NN
laugh 	 NN
laugh 	 VB
launch 	 NN
launch 	 VB
laundry 	 NN
law 	 NN
lawyer 	 NN
layer 	 NN
lay 	 VB
lazy 	 JJ
leader 	 NN
leading 	 JJ
lead 	 NN
lead 	 VB
leaf 	 NN
league 	 NN
lean 	 VB
learn 	 VB
least 	 ADVB
least 	 DET
least 	 PRNOUN
leather 	 NN
leave 	 VB
lecture 	 NN
left 	 JJ
left 	 ADVB
left 	 NN
legal 	 JJ
legally 	 ADVB
leg 	 NN
lemon 	 NN
lend 	 VB
length 	 NN
less 	 ADVB
less 	 DET
lesson 	 NN
less 	 PRNOUN
letter 	 NN
let 	 VB
level 	 JJ
level 	 NN
liberal 	 JJ
library 	 NN
license 	 NN
license 	 VB
lid 	 NN
lie 	 NN
lie 	 VB
life 	 NN
lift 	 VB
light 	 JJ
lightly 	 ADVB
light 	 NN
light 	 VB
like 	 CONJ
likely 	 JJ
likely 	 ADVB
like 	 PREP
like 	 VB
limited 	 JJ
limit 	 NN
limit 	 VB
line 	 NN
link 	 NN
link 	 VB
lip 	 NN
liquid 	 JJ
liquid 	 NN
listen 	 VB
list 	 NN
list 	 VB
literature 	 NN
liter 	 NN
little 	 JJ
little 	 ADVB
little 	 DET
little 	 PRNOUN
live 	 JJ
live 	 ADVB
lively 	 JJ
live 	 VB
living 	 JJ
load 	 NN
load 	 VB
loan 	 NN
local 	 JJ
locally 	 ADVB
locate 	 VB
location 	 NN
lock 	 NN
lock 	 VB
logical 	 JJ
logic 	 NN
lonely 	 JJ
long 	 JJ
long 	 ADVB
look 	 NN
look 	 VB
loose 	 JJ
loosely 	 ADVB
lord 	 NN
lose 	 VB
loss 	 NN
lost 	 JJ
lot 	 ADVB
lot 	 DET
lot 	 PRNOUN
loud 	 JJ
loud 	 ADVB
loudly 	 ADVB
love 	 NN
lover 	 NN
love 	 VB
low 	 JJ
low 	 ADVB
lower 	 VB
loyal 	 JJ
luck 	 NN
lucky 	 JJ
lump 	 NN
lunch 	 NN
lung 	 NN
machine 	 NN
machinery 	 NN
mad 	 JJ
magazine 	 NN
magic 	 JJ
magic 	 NN
mail 	 NN
mail 	 VB
main 	 JJ
mainly 	 ADVB
maintain 	 VB
major 	 JJ
majority 	 NN
major 	 NN
make 	 NN
make-up 	 NN
make 	 VB
male 	 JJ
male 	 NN
mall 	 NN
management 	 NN
manager 	 NN
manage 	 VB
manner 	 NN
man 	 NN
manufacture 	 NN
manufacturer 	 NN
manufacture 	 VB
manufacturing 	 NN
many 	 DET
many 	 PRNOUN
map 	 NN
march 	 NN
March 	 NN
march 	 VB
marker 	 NN
marketing 	 NN
market 	 NN
mark 	 NN
mark 	 VB
marriage 	 NN
married 	 JJ
marry 	 VB
mass 	 JJ
massive 	 JJ
mass 	 NN
master 	 NN
matching 	 JJ
match 	 NN
match 	 VB
mate 	 NN
material 	 JJ
material 	 NN
mate 	 VB
mathematics 	 NN
math 	 NN
matter 	 NN
matter 	 VB
maximum 	 JJ
maximum 	 NN
maybe 	 ADVB
may 	 MODAL
May 	 NN
mayor 	 NN
meal 	 NN
meaning 	 NN
means 	 NN
mean 	 VB
meanwhile 	 ADVB
measurement 	 NN
measure 	 NN
measure 	 VB
meat 	 NN
media 	 NN
medicine 	 NN
medium 	 JJ
medium 	 NN
meeting 	 NN
meet 	 VB
melt 	 VB
member 	 NN
membership 	 NN
memory 	 NN
mental 	 JJ
mentally 	 ADVB
mention 	 VB
menu 	 NN
me 	 PRNOUN
mere 	 JJ
merely 	 ADVB
message 	 NN
mess 	 NN
mess 	 VB
messy 	 JJ
metal 	 NN
meter 	 NN
method 	 NN
middle 	 JJ
middle 	 NN
midnight 	 NN
might 	 MODAL
mild 	 JJ
mile 	 NN
military 	 JJ
milk 	 NN
milligram 	 NN
millimeter 	 NN
mind 	 NN
mind 	 VB
mine 	 NN
mine 	 PRNOUN
mineral 	 JJ
mineral 	 NN
minimum 	 JJ
minimum 	 NN
minister 	 NN
ministry 	 NN
minor 	 JJ
minority 	 NN
minute 	 NN
mirror 	 NN
missing 	 JJ
miss 	 NN
Miss 	 NN
miss 	 VB
mistaken 	 JJ
mistake 	 NN
mistake 	 VB
mixed 	 JJ
mix 	 NN
mixture 	 NN
mix 	 VB
mobile 	 JJ
model 	 NN
modern 	 JJ
moment 	 NN
mom 	 NN
Monday 	 NN
money 	 NN
monitor 	 NN
monitor 	 VB
month 	 NN
mood 	 NN
moon 	 NN
moral 	 JJ
morally 	 ADVB
more 	 ADVB
more 	 DET
moreover 	 ADVB
more 	 PRNOUN
morning 	 NN
most 	 ADVB
most 	 DET
mostly 	 ADVB
most 	 PRNOUN
mother 	 NN
motion 	 NN
motorcycle 	 NN
motor 	 NN
mountain 	 NN
mount 	 NN
mount 	 VB
mouse 	 NN
mouth 	 NN
movement 	 NN
move 	 NN
move 	 VB
movie 	 NN
moving 	 JJ
Mr. 	 ABBR
Mrs. 	 ABBR
Ms. 	 ABBR
much 	 ADVB
much 	 DET
much 	 PRNOUN
mud 	 NN
multiply 	 VB
murder 	 NN
murder 	 VB
muscle 	 NN
museum 	 NN
musical 	 JJ
musician 	 NN
music 	 NN
must 	 MODAL
my 	 DET
myself 	 PRNOUN
mysterious 	 JJ
mystery 	 NN
nail 	 NN
naked 	 JJ
name 	 NN
name 	 VB
narrow 	 JJ
national 	 JJ
nation 	 NN
native 	 JJ
natural 	 JJ
naturally 	 ADVB
nature 	 NN
navy 	 NN
near 	 JJ
near 	 ADVB
nearby 	 JJ
nearby 	 ADVB
nearly 	 ADVB
near 	 PREP
neat 	 JJ
neatly 	 ADVB
necessarily 	 ADVB
necessary 	 JJ
neck 	 NN
needle 	 NN
need 	 MODAL
need 	 NN
need 	 VB
negative 	 JJ
neighborhood 	 NN
neighbor 	 NN
neither 	 ADVB
neither 	 DET
neither 	 PRNOUN
nephew 	 NN
nerve 	 NN
nervous 	 JJ
nervously 	 ADVB
nest 	 NN
nest 	 VB
net 	 NN
network 	 NN
never 	 ADVB
nevertheless 	 ADVB
new 	 JJ
newly 	 ADVB
news 	 NN
newspaper 	 NN
next 	 JJ
next 	 ADVB
next 	 NN
nice 	 JJ
nicely 	 ADVB
niece 	 NN
night 	 NN
nobody 	 PRNOUN
no 	 DET
nod 	 VB
no 	 EXCLAM
noise 	 NN
noisily 	 ADVB
noisy 	 JJ
none 	 PRNOUN
nonsense 	 NN
noone 	 PRNOUN
nor 	 ADVB
nor 	 CONJ
normal 	 JJ
normally 	 ADVB
normal 	 NN
north 	 JJ
north 	 ADVB
northern 	 JJ
north 	 NN
nose 	 NN
not 	 ADVB
note 	 NN
note 	 VB
nothing 	 PRNOUN
noticeable 	 JJ
notice 	 NN
notice 	 VB
notion 	 NN
novel 	 NN
November 	 NN
now 	 ADVB
nowhere 	 ADVB
nuclear 	 JJ
number 	 NN
numerous 	 JJ
nurse 	 NN
nut 	 NN
obey 	 VB
objective 	 JJ
objective 	 NN
object 	 NN
object 	 VB
observation 	 NN
observe 	 VB
obtain 	 VB
obvious 	 JJ
obviously 	 ADVB
occasionally 	 ADVB
occasion 	 NN
occupied 	 JJ
occupy 	 VB
occur 	 VB
ocean 	 NN
o’clock 	 ADVB
October 	 NN
odd 	 JJ
oddly 	 ADVB
off 	 ADVB
offend 	 VB
offense 	 NN
offensive 	 JJ
offer 	 NN
offer 	 VB
office 	 NN
officer 	 NN
official 	 JJ
officially 	 ADVB
official 	 NN
off 	 PREP
of 	 PREP
often 	 ADVB
oh 	 EXCLAM
oil 	 NN
OK 	 JJ
OK 	 ADVB
okay 	 JJ
okay 	 ADVB
okay 	 EXCLAM
OK 	 EXCLAM
old 	 JJ
old-fashioned 	 JJ
on 	 ADVB
once 	 ADVB
once 	 CONJ
one 	 DET
one 	 NUM
one 	 PRNOUN
onion 	 NN
online 	 JJ
online 	 ADVB
only 	 JJ
only 	 ADVB
on 	 PREP
onto 	 PREP
open 	 JJ
opening 	 NN
openly 	 ADVB
open 	 VB
operate 	 VB
operation 	 NN
opinion 	 NN
opponent 	 NN
opportunity 	 NN
oppose 	 VB
opposing 	 JJ
opposite 	 JJ
opposite 	 ADVB
opposite 	 NN
opposition 	 NN
option 	 NN
orange 	 JJ
orange 	 NN
or 	 CONJ
order 	 NN
order 	 VB
ordinary 	 JJ
organization 	 NN
organized 	 JJ
organize 	 VB
organ 	 NN
original 	 JJ
originally 	 ADVB
original 	 NN
origin 	 NN
other 	 JJ
other 	 PRNOUN
otherwise 	 ADVB
ought 	 MODAL
ounce 	 NN
our 	 DET
ourselves 	 PRNOUN
ours 	 PRNOUN
out 	 ADVB
outdoor 	 JJ
outdoors 	 ADVB
outer 	 JJ
outline 	 NN
outline 	 VB
out 	 PREP
output 	 NN
outside 	 JJ
outside 	 ADVB
outside 	 NN
outside 	 PREP
outstanding 	 JJ
oven 	 NN
over 	 ADVB
overall 	 JJ
overall 	 ADVB
overcome 	 VB
over 	 PREP
overseas 	 JJ
overseas 	 ADVB
owe 	 VB
own 	 JJ
owner 	 NN
own 	 PRNOUN
own 	 VB
pace 	 NN
package 	 NN
package 	 VB
pack 	 NN
pack 	 VB
page 	 NN
painful 	 JJ
pain 	 NN
painter 	 NN
painting 	 NN
paint 	 NN
paint 	 VB
pair 	 NN
palace 	 NN
pale 	 JJ
panel 	 NN
pan 	 NN
pants 	 NN
paper 	 NN
parallel 	 JJ
parent 	 NN
park 	 NN
park 	 VB
parliament 	 NN
participate 	 VB
particular 	 JJ
particularly 	 ADVB
partly 	 ADVB
partner 	 NN
partnership 	 NN
part 	 NN
party 	 NN
passage 	 NN
passenger 	 NN
passing 	 JJ
passing 	 NN
passion 	 NN
passport 	 NN
pass 	 VB
past 	 JJ
past 	 ADVB
past 	 NN
past 	 PREP
path 	 NN
patience 	 NN
patient 	 JJ
patient 	 NN
pattern 	 NN
pause 	 NN
pause 	 VB
payment 	 NN
pay 	 NN
pay 	 VB
peaceful 	 JJ
peace 	 NN
peak 	 NN
penalty 	 NN
pencil 	 NN
pen 	 NN
people 	 NN
pepper 	 NN
percent 	 JJ
percent 	 ADVB
percentage 	 NN
percent 	 NN
perfect 	 JJ
perfectly 	 ADVB
performance 	 NN
performer 	 NN
perform 	 VB
perhaps 	 ADVB
period 	 NN
permanent 	 JJ
permanently 	 ADVB
permission 	 NN
permit 	 VB
per 	 PREP
personal 	 JJ
personality 	 NN
personally 	 ADVB
person 	 NN
perspective 	 NN
persuade 	 VB
pet 	 NN
phase 	 NN
philosophy 	 NN
phone 	 NN
phone 	 VB
photocopy 	 NN
photocopy 	 VB
photographer 	 NN
photograph 	 NN
photograph 	 VB
photography 	 NN
photo 	 NN
phrase 	 NN
physical 	 JJ
physically 	 ADVB
physics 	 NN
piano 	 NN
pick 	 VB
picture 	 NN
piece 	 NN
pig 	 NN
pile 	 NN
pile 	 VB
pill 	 NN
pilot 	 NN
pink 	 JJ
pink 	 NN
pin 	 NN
pint 	 NN
pin 	 VB
pipe 	 NN
pitch 	 NN
pitch 	 VB
place 	 NN
place 	 VB
plain 	 JJ
plane 	 NN
planet 	 NN
planning 	 NN
plan 	 NN
plant 	 NN
plant 	 VB
plan 	 VB
plastic 	 JJ
plastic 	 NN
plate 	 NN
platform 	 NN
player 	 NN
play 	 NN
play 	 VB
pleasant 	 JJ
pleasantly 	 ADVB
pleased 	 JJ
please 	 EXCLAM
please 	 VB
pleasure 	 NN
plenty 	 ADVB
plenty 	 DET
plenty 	 NN
plenty 	 PRNOUN
plot 	 NN
plot 	 VB
plug 	 NN
plus 	 JJ
plus 	 CONJ
plus 	 NN
plus 	 PREP
p.m. 	 ABBR
pocket 	 NN
poem 	 NN
poetry 	 NN
pointed 	 JJ
point 	 NN
point 	 VB
poison 	 NN
poisonous 	 JJ
poison 	 VB
pole 	 NN
police 	 NN
policy 	 NN
polish 	 NN
polish 	 VB
polite 	 JJ
politely 	 ADVB
political 	 JJ
politically 	 ADVB
politician 	 NN
politics 	 NN
pollution 	 NN
pool 	 NN
poor 	 JJ
pop 	 NN
popular 	 JJ
population 	 NN
pop 	 VB
port 	 NN
pose 	 NN
pose 	 VB
position 	 NN
positive 	 JJ
possession 	 NN
possess 	 VB
possibility 	 NN
possible 	 JJ
possibly 	 ADVB
post 	 NN
post-office 	 NN
post 	 VB
potato 	 NN
potential 	 JJ
potentially 	 ADVB
potential 	 NN
pot 	 NN
pound 	 NN
pour 	 VB
poverty 	 NN
powder 	 NN
powerful 	 JJ
power 	 NN
practical 	 JJ
practically 	 ADVB
practice 	 NN
practice 	 VB
praise 	 NN
praise 	 VB
prayer 	 NN
precise 	 JJ
precisely 	 ADVB
predict 	 VB
preference 	 NN
prefer 	 VB
pregnant 	 JJ
premises 	 NN
preparation 	 NN
prepared 	 JJ
prepare 	 VB
presence 	 NN
present 	 JJ
presentation 	 NN
present 	 NN
present 	 VB
preserve 	 VB
president 	 NN
press 	 NN
pressure 	 NN
press 	 VB
presumably 	 ADVB
pretend 	 VB
pretty 	 JJ
pretty 	 ADVB
prevent 	 VB
previous 	 JJ
previously 	 ADVB
price 	 NN
pride 	 NN
priest 	 NN
primarily 	 ADVB
primary 	 JJ
prime-minister 	 NN
prince 	 NN
princess 	 NN
principal 	 JJ
principal 	 NN
principle 	 NN
printer 	 NN
print 	 NN
print 	 VB
prior 	 JJ
priority 	 NN
prisoner 	 NN
prison 	 NN
private 	 JJ
privately 	 ADVB
prize 	 NN
probably 	 ADVB
problem 	 NN
procedure 	 NN
proceed 	 VB
process 	 NN
process 	 VB
producer 	 NN
produce 	 VB
production 	 NN
product 	 NN
professional 	 JJ
professional 	 NN
profession 	 NN
professor 	 NN
profile 	 NN
profit 	 NN
program 	 NN
program 	 VB
progress 	 NN
progress 	 VB
project 	 NN
project 	 VB
promise 	 NN
promise 	 VB
promote 	 VB
promotion 	 NN
prompt 	 JJ
promptly 	 ADVB
prompt 	 VB
pronounce 	 VB
pronunciation 	 NN
proof 	 NN
proper 	 JJ
property 	 NN
proportion 	 NN
proposal 	 NN
propose 	 VB
prospect 	 NN
protection 	 NN
protect 	 VB
protest 	 NN
protest 	 VB
proud 	 JJ
proudly 	 ADVB
prove 	 VB
provided 	 CONJ
provide 	 VB
public 	 JJ
publication 	 NN
publicity 	 NN
publicly 	 ADVB
public 	 NN
publishing 	 NN
publish 	 VB
pull 	 NN
pull 	 VB
punch 	 NN
punch 	 VB
punishment 	 NN
punish 	 VB
purchase 	 NN
purchase 	 VB
pure 	 JJ
purely 	 ADVB
purple 	 JJ
purple 	 NN
purpose 	 NN
pursue 	 VB
push 	 NN
push 	 VB
put 	 VB
qualification 	 NN
qualified 	 JJ
qualify 	 VB
quality 	 NN
quantity 	 NN
quarter 	 NN
queen 	 NN
question 	 NN
question 	 VB
quick 	 JJ
quickly 	 ADVB
quiet 	 JJ
quietly 	 ADVB
quite 	 ADVB
quit 	 VB
quote 	 VB
race 	 NN
race 	 VB
racing 	 NN
radio 	 NN
rail 	 NN
railroad 	 NN
rain 	 NN
rain 	 VB
raise 	 VB
range 	 NN
rank 	 NN
rank 	 VB
rapid 	 JJ
rapidly 	 ADVB
rare 	 JJ
rarely 	 ADVB
rate 	 NN
rate 	 VB
rather 	 ADVB
raw 	 JJ
reach 	 VB
reaction 	 NN
react 	 VB
reader 	 NN
reading 	 NN
read 	 VB
ready 	 JJ
real 	 JJ
realistic 	 JJ
reality 	 NN
realize 	 VB
really 	 ADVB
rear 	 JJ
rear 	 NN
reasonable 	 JJ
reasonably 	 ADVB
reason 	 NN
recall 	 VB
receipt 	 NN
receive 	 VB
recent 	 JJ
recently 	 ADVB
reception 	 NN
recognition 	 NN
recognize 	 VB
recommendation 	 NN
recommend 	 VB
recording 	 NN
record 	 NN
record 	 VB
recover 	 VB
recovery 	 NN
red 	 JJ
red 	 NN
reduce 	 VB
reduction 	 NN
reference 	 NN
refer 	 VB
reflect 	 VB
reform 	 NN
reform 	 VB
refrigerator 	 NN
refusal 	 NN
refuse 	 VB
regarding 	 PREP
regard 	 NN
regard 	 VB
regional 	 JJ
region 	 NN
register 	 NN
register 	 VB
regret 	 NN
regret 	 VB
regular 	 JJ
regularly 	 ADVB
regulation 	 NN
reject 	 VB
related 	 JJ
relate 	 VB
relation 	 NN
relationship 	 NN
relative 	 JJ
relatively 	 ADVB
relative 	 NN
relaxed 	 JJ
relaxing 	 JJ
relax 	 VB
release 	 NN
release 	 VB
relevant 	 JJ
relief 	 NN
religion 	 NN
religious 	 JJ
rely 	 VB
remaining 	 JJ
remains 	 NN
remain 	 VB
remarkable 	 JJ
remarkably 	 ADVB
remark 	 NN
remark 	 VB
remember 	 VB
remind 	 VB
remote 	 JJ
removal 	 NN
remove 	 VB
rent 	 NN
rent 	 VB
repair 	 NN
repair 	 VB
repeated 	 JJ
repeatedly 	 ADVB
repeat 	 VB
replace 	 VB
reply 	 NN
reply 	 VB
reporter 	 NN
report 	 NN
report 	 VB
representative 	 JJ
representative 	 NN
represent 	 VB
reproduce 	 VB
reputation 	 NN
request 	 NN
request 	 VB
requirement 	 NN
require 	 VB
rescue 	 NN
rescue 	 VB
research 	 NN
research 	 VB
reservation 	 NN
reserve 	 NN
reserve 	 VB
resident 	 JJ
resident 	 NN
resistance 	 NN
resist 	 VB
resolve 	 VB
resort 	 NN
resource 	 NN
respect 	 NN
respect 	 VB
respond 	 VB
response 	 NN
responsibility 	 NN
responsible 	 JJ
restaurant 	 NN
rest 	 NN
restore 	 VB
restricted 	 JJ
restriction 	 NN
restrict 	 VB
rest 	 VB
result 	 NN
result 	 VB
retain 	 VB
retired 	 JJ
retirement 	 NN
retire 	 VB
return 	 NN
return 	 VB
reveal 	 VB
reverse 	 NN
reverse 	 VB
review 	 NN
review 	 VB
revise 	 VB
revision 	 NN
revolution 	 NN
reward 	 NN
reward 	 VB
rhythm 	 NN
rice 	 NN
rich 	 JJ
ride 	 NN
rider 	 NN
ride 	 VB
ridiculous 	 JJ
riding 	 NN
rid 	 VB
right 	 JJ
right 	 ADVB
rightly 	 ADVB
right 	 NN
ring 	 NN
ring 	 VB
rise 	 NN
rise 	 VB
risk 	 NN
risk 	 VB
rival 	 JJ
rival 	 NN
river 	 NN
road 	 NN
rob 	 VB
rock 	 NN
role 	 NN
roll 	 NN
roll 	 VB
romantic 	 JJ
roof 	 NN
room 	 NN
root 	 NN
rope 	 NN
rose 	 NN
rough 	 JJ
roughly 	 ADVB
round 	 JJ
round 	 NN
route 	 NN
routine 	 JJ
routine 	 NN
row 	 NN
royal 	 JJ
rubber 	 NN
rub 	 VB
rude 	 JJ
rudely 	 ADVB
ruined 	 JJ
ruin 	 NN
ruin 	 VB
rule 	 NN
ruler 	 NN
rule 	 VB
rumor 	 NN
runner 	 NN
running 	 NN
run 	 NN
run 	 VB
rural 	 JJ
rush 	 NN
rush 	 VB
sack 	 NN
sad 	 JJ
sadly 	 ADVB
sadness 	 NN
safe 	 JJ
safely 	 ADVB
safety 	 NN
sailing 	 NN
sail 	 NN
sailor 	 NN
sail 	 VB
salad 	 NN
salary 	 NN
sale 	 NN
salt 	 NN
salty 	 JJ
same 	 JJ
same 	 PRNOUN
sample 	 NN
sand 	 NN
satisfaction 	 NN
satisfied 	 JJ
satisfying 	 JJ
satisfy 	 VB
Saturday 	 NN
sauce 	 NN
save 	 VB
saving 	 NN
say 	 VB
scale 	 NN
scared 	 JJ
scare 	 NN
scare 	 VB
scary 	 JJ
scene 	 NN
schedule 	 NN
schedule 	 VB
school 	 NN
science 	 NN
scientific 	 JJ
scientist 	 NN
scissors 	 NN
score 	 NN
score 	 VB
scratch 	 NN
scratch 	 VB
scream 	 NN
scream 	 VB
screen 	 NN
screw 	 NN
screw 	 VB
seal 	 NN
seal 	 VB
sea 	 NN
search 	 NN
search 	 VB
season 	 NN
seat 	 NN
second 	 ADVB
secondary 	 JJ
second 	 DET
second 	 NN
second 	 ORD
secret 	 JJ
secretary 	 NN
secretly 	 ADVB
secret 	 NN
section 	 NN
sector 	 NN
secure 	 JJ
secure 	 VB
security 	 NN
seed 	 NN
seek 	 VB
seem 	 LINK_VB
see 	 VB
selection 	 NN
select 	 VB
