abandoned 	VBN 
interior 	JJ 
internal 	JJ 
international 	JJ 
Internet 	NN 
interpretation 	NN 
interpret 	VB 
interruption 	NN 
interrupt 	JJ 
interval 	NN 
interview 	NN 
into 	IN 
introduce 	VB 
introduction 	NN 
invention 	NN 
invent 	VB 
investigate 	VB 
investigation 	NN 
investment 	NN 
invest 	VBP 
invitation 	NN 
invite 	VB 
involvement 	NN 
involve 	VBP 
I 	PRP 
iron 	NN 
iron 	VB 
irritated 	JJ 
irritate 	JJ 
irritating 	JJ 
island 	NN 
issue 	NN 
item 	NN 
it 	PRP 
itself 	PRP 
its 	PRP$ 
jacket 	NN 
jail 	NN 
January 	NNP 
jealous 	JJ 
jeans 	NNS 
jelly 	RB 
jewelry 	NN 
job 	NN 
joint 	JJ 
jointly 	RB 
join 	VB 
joke 	NN 
journalist 	NN 
journey 	NN 
joy 	NN 
judgement 	NN 
judge 	NN 
judgment 	NN 
juice 	NN 
July 	NNP 
jump 	NN 
June 	NNP 
junior 	NN 
jury 	NN 
justice 	NN 
justified 	JJ 
justify 	VB 
just 	RB 
keen 	JJ 
keep 	VB 
keyboard 	NN 
key 	JJ 
kick 	NN 
kid 	NN 
killing 	VBG 
kill 	NN 
kilogram 	NN 
kilo 	NN 
kindly 	RB 
kindness 	NN 
kind 	NN 
king 	NN 
kiss 	NN 
kitchen 	NN 
knee 	NN 
knife 	NN 
knock 	VB 
knot 	NN 
knowledge 	NN 
know 	VBP 
label 	NN 
lab 	NN 
laboratory 	NN 
labor 	NN 
lacking 	VBG 
lack 	NN 
lady 	NN 
lake 	NN 
lamp 	NN 
land 	NN 
landscape 	NN 
lane 	NN 
language 	NN 
large 	JJ 
largely 	RB 
last 	JJ 
late 	JJ 
lately 	RB 
later 	RB 
latest 	JJS 
latter 	JJ 
laugh 	NN 
launch 	NN 
laundry 	NN 
law 	NN 
lawyer 	NN 
layer 	NN 
lay 	VBD 
lazy 	JJ 
leader 	NN 
leading 	VBG 
lead 	NN 
leaf 	NN 
league 	NN 
lean 	JJ 
learn 	VBP 
least 	JJS 
leather 	NN 
leave 	NN 
lecture 	NN 
left 	JJ 
left 	VBD 
legal 	JJ 
legally 	RB 
leg 	NN 
lemon 	JJ 
lend 	VBP 
length 	NN 
less 	JJR 
lesson 	NN 
less 	RBR 
letter 	NN 
let 	VB 
level 	NN 
liberal 	JJ 
library 	NN 
license 	NN 
lid 	NN 
lie 	NN 
lie 	VBP 
life 	NN 
lift 	NN 
light 	JJ 
lightly 	RB 
light 	NN 
like 	IN 
likely 	JJ 
limited 	JJ 
limit 	NN 
line 	NN 
link 	NN 
lip 	NN 
liquid 	NN 
listen 	VBP 
list 	NN 
literature 	NN 
liter 	NN 
little 	JJ 
little 	RB 
live 	JJ 
lively 	JJ 
living 	NN 
load 	NN 
loan 	NN 
local 	JJ 
locally 	RB 
locate 	VB 
location 	NN 
lock 	NN 
logical 	JJ 
logic 	NN 
lonely 	JJ 
long 	RB 
look 	NN 
look 	VB 
loose 	JJ 
loosely 	RB 
lord 	NN 
lose 	VBP 
loss 	NN 
lost 	VBD 
lot 	NN 
loud 	JJ 
loudly 	RB 
love 	NN 
lover 	NN 
love 	VBP 
lower 	JJR 
low 	JJ 
loyal 	JJ 
luck 	NN 
lucky 	JJ 
lump 	NN 
lunch 	NN 
lung 	NN 
machine 	NN 
machinery 	NN 
mad 	JJ 
magazine 	NN 
magic 	JJ 
mail 	NN 
main 	JJ 
mainly 	RB 
maintain 	VBP 
majority 	NN 
major 	JJ 
make-up 	NN 
make 	VB 
make 	VBP 
male 	JJ 
mall 	NN 
management 	NN 
manager 	NN 
manage 	VBP 
manner 	NN 
man 	NN 
manufacture 	NN 
manufacturer 	NN 
manufacturing 	VBG 
many 	JJ 
map 	NN 
march 	NN 
March 	NNP 
march 	VB 
marker 	NN 
marketing 	NN 
market 	NN 
mark 	NN 
marriage 	NN 
married 	VBN 
marry 	VB 
massive 	JJ 
mass 	NN 
master 	NN 
matching 	VBG 
match 	NN 
mate 	NN 
material 	NN 
mathematics 	NNS 
math 	NN 
matter 	NN 
maximum 	NN 
maybe 	RB 
may 	MD 
May 	NNP 
mayor 	NN 
meal 	NN 
meaning 	NN 
mean 	JJ 
means 	VBZ 
meanwhile 	RB 
measurement 	NN 
measure 	NN 
meat 	NN 
media 	NNS 
medicine 	NN 
medium 	NN 
meeting 	NN 
meet 	VBP 
melt 	VB 
member 	NN 
membership 	NN 
memory 	NN 
mental 	JJ 
mentally 	RB 
mention 	VB 
menu 	NN 
me 	PRP 
mere 	JJ 
merely 	RB 
message 	NN 
mess 	NN 
messy 	JJ 
metal 	NN 
meter 	NN 
method 	NN 
middle 	JJ 
midnight 	NN 
might 	MD 
mild 	JJ 
mile 	NN 
military 	JJ 
milk 	NN 
milligram 	NN 
millimeter 	NN 
mind 	NN 
mine 	NN 
mineral 	NN 
minimum 	JJ 
minimum 	NN 
minister 	NN 
ministry 	NN 
minority 	NN 
minor 	JJ 
minute 	NN 
mirror 	NN 
missing 	VBG 
Miss 	NNP 
miss 	VBP 
mistaken 	JJ 
mistake 	NN 
mixed 	JJ 
mix 	NN 
mixture 	NN 
mobile 	JJ 
model 	NN 
modern 	JJ 
moment 	NN 
mom 	NN 
Monday 	NNP 
money 	NN 
monitor 	NN 
month 	NN 
mood 	NN 
moon 	NN 
moral 	JJ 
morally 	RB 
moreover 	RB 
more 	RBR 
morning 	NN 
mostly 	RB 
most 	RBS 
mother 	NN 
motion 	NN 
motorcycle 	NN 
motor 	NN 
mountain 	NN 
mount 	VB 
mouse 	NN 
mouth 	NN 
movement 	NN 
move 	NN 
movie 	NN 
moving 	VBG 
Mr. 	NNP 
Mrs. 	NNP 
Ms. 	NNP 
much 	JJ 
much 	RB 
mud 	NN 
multiply 	VB 
murder 	NN 
muscle 	NN 
museum 	NN 
musical 	JJ 
musician 	NN 
music 	NN 
must 	MD 
my 	PRP$ 
myself 	PRP 
mysterious 	JJ 
mystery 	NN 
nail 	NN 
naked 	JJ 
name 	NN 
narrow 	JJ 
national 	JJ 
nation 	NN 
native 	JJ 
natural 	JJ 
naturally 	RB 
nature 	NN 
navy 	NN 
nearby 	JJ 
near 	IN 
nearly 	RB 
neat 	JJ 
neatly 	RB 
necessarily 	RB 
necessary 	JJ 
neck 	NN 
needle 	NN 
need 	MD 
need 	VB 
need 	VBP 
negative 	JJ 
neighborhood 	NN 
neighbor 	NN 
neither 	CC 
nephew 	NN 
nerve 	NN 
nervous 	JJ 
nervously 	RB 
nest 	NN 
net 	JJ 
network 	NN 
never 	RB 
nevertheless 	RB 
new 	JJ 
newly 	RB 
news 	NN 
newspaper 	NN 
next 	IN 
next 	JJ 
nice 	JJ 
nicely 	RB 
niece 	JJ 
night 	NN 
nobody 	NN 
nod 	NN 
no 	DT 
noise 	NN 
noisily 	RB 
noisy 	JJ 
none 	NN 
nonsense 	NN 
noone 	NN 
nor 	CC 
normal 	JJ 
normally 	RB 
northern 	JJ 
north 	NN 
nose 	NN 
note 	NN 
note 	VB 
nothing 	NN 
noticeable 	JJ 
notice 	NN 
notion 	NN 
not 	RB 
novel 	JJ 
November 	NNP 
nowhere 	RB 
now 	RB 
nuclear 	JJ 
number 	NN 
numerous 	JJ 
nurse 	NN 
nut 	NN 
obey 	VB 
objective 	JJ 
object 	NN 
observation 	NN 
observe 	VBP 
obtain 	VB 
obvious 	JJ 
obviously 	RB 
occasionally 	RB 
occasion 	NN 
occupied 	JJ 
occupy 	VBP 
occur 	VBP 
ocean 	NN 
o'clock 	RB 
October 	NNP 
odd 	JJ 
oddly 	RB 
offend 	VB 
offense 	NN 
offensive 	JJ 
offer 	NN 
office 	NN 
officer 	NN 
official 	JJ 
officially 	RB 
official 	NN 
off 	IN 
of 	IN 
often 	RB 
oh 	UH 
oil 	NN 
okay 	JJ 
OK 	JJ 
old-fashioned 	JJ 
old 	JJ 
once 	RB 
one 	CD 
on 	IN 
onion 	NN 
online 	NN 
only 	RB 
onto 	IN 
opening 	NN 
open 	JJ 
openly 	RB 
operate 	VBP 
operation 	NN 
opinion 	NN 
opponent 	NN 
opportunity 	NN 
oppose 	VBP 
opposing 	VBG 
opposite 	JJ 
opposition 	NN 
option 	NN 
orange 	NN 
or 	CC 
order 	NN 
ordinary 	JJ 
organization 	NN 
organized 	VBN 
organize 	VBP 
organ 	NN 
original 	JJ 
originally 	RB 
origin 	NN 
other 	JJ 
otherwise 	RB 
ought 	MD 
ounce 	NN 
our 	PRP$ 
ourselves 	PRP 
ours 	PRP 
outdoor 	JJ 
outdoors 	NNS 
outer 	JJ 
out 	IN 
outline 	NN 
output 	NN 
out 	RP 
outside 	IN 
outside 	JJ 
outstanding 	JJ 
oven 	NN 
overall 	JJ 
overcome 	VBN 
over 	IN 
overseas 	JJ 
owe 	VBP 
owner 	NN 
own 	JJ 
pace 	NN 
package 	NN 
pack 	NN 
page 	NN 
painful 	JJ 
pain 	NN 
painter 	NN 
painting 	NN 
paint 	NN 
pair 	NN 
palace 	NN 
pale 	JJ 
panel 	NN 
pan 	NN 
pants 	NNS 
paper 	NN 
parallel 	JJ 
parent 	NN 
park 	NN 
parliament 	NN 
participate 	VBP 
particular 	JJ 
particularly 	RB 
partly 	RB 
partner 	NN 
partnership 	NN 
part 	NN 
party 	NN 
passage 	NN 
passenger 	NN 
passing 	VBG 
passion 	NN 
pass 	NN 
passport 	NN 
past 	JJ 
path 	NN 
patience 	NN 
patient 	NN 
pattern 	NN 
pause 	NN 
payment 	NN 
pay 	NN 
peaceful 	JJ 
peace 	NN 
peak 	NN 
penalty 	NN 
pencil 	NN 
pen 	NN 
people 	NNS 
pepper 	NN 
percentage 	NN 
percent 	NN 
perfect 	JJ 
perfectly 	RB 
performance 	NN 
performer 	NN 
perform 	VB 
perhaps 	RB 
per 	IN 
period 	NN 
permanent 	JJ 
permanently 	RB 
permission 	NN 
permit 	NN 
personality 	NN 
personal 	JJ 
personally 	RB 
person 	NN 
perspective 	NN 
persuade 	VB 
pet 	JJ 
phase 	NN 
philosophy 	NN 
phone 	NN 
photocopy 	VB 
photographer 	NNP 
photograph 	NN 
photography 	NN 
photo 	NN 
phrase 	NN 
physical 	JJ 
physically 	RB 
physics 	NN 
piano 	NN 
pick 	NN 
picture 	NN 
piece 	NN 
pig 	NN 
pile 	NN 
pill 	NN 
pilot 	NN 
pink 	NN 
pin 	NN 
pint 	NN 
pipe 	NN 
pitch 	NN 
place 	NN 
plain 	RB 
plane 	NN 
planet 	NN 
planning 	NN 
plan 	NN 
plant 	NN 
plastic 	JJ 
plastic 	NN 
plate 	NN 
platform 	NN 
player 	NN 
play 	NN 
play 	VBP 
pleasant 	JJ 
pleasantly 	RB 
pleased 	JJ 
please 	VB 
pleasure 	NN 
plenty 	JJ 
plenty 	NN 
plot 	NN 
plug 	NN 
plus 	CC 
p.m. 	RB 
pocket 	NN 
poem 	NN 
poetry 	NN 
pointed 	VBD 
point 	NN 
poison 	NN 
poisonous 	JJ 
pole 	NN 
police 	NN 
policy 	NN 
polish 	NN 
polite 	JJ 
politely 	RB 
political 	JJ 
politically 	RB 
politician 	NN 
politics 	NNS 
pollution 	NN 
pool 	NN 
poor 	JJ 
pop 	NN 
popular 	JJ 
population 	NN 
port 	NN 
pose 	VB 
pose 	VBP 
position 	NN 
positive 	JJ 
possession 	NN 
possess 	VBP 
possibility 	NN 
possible 	JJ 
possibly 	RB 
post 	NN 
post-office 	JJ 
post 	VB 
potato 	NN 
potential 	JJ 
potentially 	RB 
pot 	NN 
pound 	NN 
pour 	VBP 
poverty 	NN 
powder 	NN 
powerful 	JJ 
power 	NN 
practical 	JJ 
practically 	RB 
practice 	NN 
praise 	NN 
prayer 	NN 
precise 	JJ 
precisely 	RB 
predict 	VBP 
preference 	NN 
prefer 	VBP 
pregnant 	JJ 
premises 	NNS 
preparation 	NN 
prepared 	JJ 
prepare 	VBP 
presence 	NN 
presentation 	NN 
present 	JJ 
preserve 	VB 
president 	NN 
press 	NN 
pressure 	NN 
presumably 	RB 
pretend 	JJ 
pretty 	RB 
prevent 	VB 
previous 	JJ 
previously 	RB 
price 	NN 
pride 	NN 
priest 	NN 
primarily 	RB 
primary 	JJ 
prime-minister 	NN 
prince 	NN 
princess 	NN 
principal 	NN 
principle 	NN 
printer 	NN 
print 	NN 
priority 	NN 
prior 	RB 
prisoner 	NN 
prison 	NN 
private 	JJ 
privately 	RB 
prize 	NN 
probably 	RB 
problem 	NN 
procedure 	NN 
proceed 	VB 
process 	NN 
producer 	NN 
produce 	VBP 
production 	NN 
product 	NN 
professional 	JJ 
profession 	NN 
professor 	NN 
profile 	NN 
profit 	NN 
program 	NN 
progress 	NN 
project 	NN 
promise 	NN 
promise 	VBP 
promote 	VB 
promotion 	NN 
prompt 	JJ 
promptly 	RB 
pronounce 	VBP 
pronunciation 	NN 
proof 	NN 
proper 	JJ 
property 	NN 
proportion 	NN 
proposal 	NN 
propose 	VBP 
prospect 	NN 
protection 	NN 
protect 	VBP 
protest 	NN 
proud 	JJ 
proudly 	RB 
prove 	VBP 
provided 	VBN 
provide 	VBP 
publication 	NN 
publicity 	NN 
public 	JJ 
publicly 	RB 
publishing 	NN 
publish 	VB 
pull 	VB 
punch 	NN 
punishment 	NN 
punish 	VBP 
purchase 	NN 
pure 	JJ 
purely 	RB 
purple 	JJ 
purpose 	NN 
pursue 	VB 
push 	NN 
put 	VBD 
qualification 	NN 
qualified 	VBD 
qualify 	VB 
quality 	NN 
quantity 	NN 
quarter 	NN 
queen 	NN 
question 	NN 
quick 	JJ 
quickly 	RB 
quiet 	JJ 
quietly 	RB 
quite 	RB 
quit 	VB 
quote 	NN 
race 	NN 
racing 	NN 
radio 	NN 
rail 	NN 
railroad 	NN 
rain 	NN 
raise 	NN 
range 	NN 
rank 	NN 
rapid 	JJ 
rapidly 	RB 
rare 	JJ 
rarely 	RB 
rate 	NN 
rather 	RB 
raw 	JJ 
reach 	NN 
reaction 	NN 
react 	VBP 
reader 	NN 
reading 	NN 
read 	VBP 
ready 	JJ 
realistic 	JJ 
reality 	NN 
realize 	VBP 
real 	JJ 
really 	RB 
rear 	JJ 
reasonable 	JJ 
reasonably 	RB 
reason 	NN 
recall 	NN 
receipt 	NN 
receive 	VBP 
recent 	JJ 
recently 	RB 
reception 	NN 
recognition 	NN 
recognize 	VBP 
recommendation 	NN 
recommend 	VB 
recording 	NN 
record 	NN 
recover 	VB 
recovery 	NN 
red 	JJ 
reduce 	VB 
reduction 	NN 
reference 	NN 
refer 	VBP 
reflect 	VBP 
reform 	NN 
refrigerator 	NN 
refusal 	NN 
refuse 	VBP 
regarding 	VBG 
regard 	NN 
regional 	JJ 
region 	NN 
register 	NN 
register 	VBP 
regret 	NN 
regular 	JJ 
regularly 	RB 
regulation 	NN 
reject 	VBP 
related 	JJ 
relate 	VBP 
relation 	NN 
relationship 	NN 
relative 	JJ 
relatively 	RB 
relaxed 	VBN 
relaxing 	NN 
relax 	VB 
release 	NN 
relevant 	JJ 
relief 	NN 
religion 	NN 
religious 	JJ 
rely 	VBP 
remaining 	VBG 
remains 	VBZ 
remain 	VBP 
remarkable 	JJ 
remarkably 	RB 
remark 	NN 
remember 	VBP 
remind 	JJ 
remote 	JJ 
removal 	NN 
remove 	VB 
rent 	NN 
repair 	NN 
repeatedly 	RB 
repeated 	VBN 
repeat 	NN 
replace 	VB 
reply 	NN 
reporter 	NN 
report 	NN 
representative 	JJ 
represent 	VBP 
reproduce 	VB 
reputation 	NN 
request 	NN 
requirement 	NN 
require 	VBP 
rescue 	NN 
research 	NN 
reservation 	NN 
reserve 	NN 
resident 	JJ 
resistance 	NN 
resist 	VBP 
resolve 	NN 
resort 	NN 
resource 	NN 
respect 	NN 
respond 	VBP 
response 	NN 
responsibility 	NN 
responsible 	JJ 
restaurant 	NN 
rest 	NN 
restore 	VB 
restricted 	JJ 
restriction 	NN 
restrict 	VB 
result 	NN 
result 	VBP 
retain 	VB 
retired 	JJ 
retirement 	NN 
retire 	VB 
return 	NN 
reveal 	VBP 
reverse 	JJ 
review 	NN 
revise 	VBP 
revision 	NN 
revolution 	NN 
reward 	NN 
rhythm 	NN 
rice 	NN 
rich 	JJ 
ride 	NN 
rider 	NN 
ridiculous 	JJ 
riding 	VBG 
rid 	JJ 
right 	JJ 
rightly 	RB 
right 	RB 
ring 	NN 
rise 	NN 
risk 	NN 
rival 	JJ 
river 	NN 
road 	NN 
rob 	NN 
rock 	NN 
role 	NN 
roll 	NN 
romantic 	JJ 
roof 	NN 
room 	NN 
root 	NN 
rope 	NN 
rose 	VBD 
rough 	JJ 
roughly 	RB 
round 	JJ 
round 	NN 
route 	NN 
routine 	JJ 
row 	NN 
royal 	NN 
rubber 	NN 
rub 	NN 
rude 	JJ 
rudely 	RB 
ruined 	VBN 
ruin 	VB 
ruin 	VBP 
rule 	NN 
ruler 	NN 
rumor 	NN 
runner 	NN 
running 	VBG 
run 	NN 
rural 	JJ 
rush 	NN 
sack 	NN 
sad 	JJ 
sadly 	RB 
sadness 	NN 
safe 	JJ 
safely 	RB 
safety 	NN 
sailing 	NN 
sail 	NN 
sailor 	NN 
sail 	VB 
salad 	NN 
salary 	NN 
sale 	NN 
salt 	NN 
salty 	JJ 
same 	JJ 
sample 	NN 
sand 	NN 
satisfaction 	NN 
satisfied 	JJ 
satisfying 	JJ 
satisfy 	VB 
Saturday 	NNP 
sauce 	NN 
save 	VB 
saving 	VBG 
say 	VBP 
scale 	NN 
scared 	JJ 
scare 	NN 
scary 	JJ 
scene 	NN 
schedule 	NN 
school 	NN 
science 	NN 
scientific 	JJ 
scientist 	NN 
scissors 	NNS 
score 	NN 
score 	VBP 
scratch 	NN 
scream 	VB 
screen 	NN 
screw 	NN 
screw 	VBP 
seal 	NN 
sea 	NN 
search 	NN 
season 	NN 
seat 	NN 
secondary 	JJ 
second 	JJ 
secretary 	NN 
secret 	JJ 
secretly 	RB 
secret 	NN 
section 	NN 
sector 	NN 
secure 	JJ 
security 	NN 
seed 	NN 
seek 	VBP 
seem 	VBP 
see 	VB 
selection 	NN 
select 	JJ 
self 	NN 
sell 	NN 
semester 	NN 
senate 	NN 
senator 	NN 
send 	VBP 
senior 	JJ 
sense 	NN 
sensible 	JJ 
sensitive 	JJ 
sentence 	NN 
separated 	JJ 
separate 	JJ 
separately 	RB 
separation 	NN 
September 	NNP 
series 	NN 
serious 	JJ 
seriously 	RB 
servant 	JJ 
serve 	VBP 
service 	NN 
session 	NN 
settle 	VB 
set 	VBD 
set 	VBN 
several 	JJ 
severe 	JJ 
severely 	RB 
sew 	VB 
sex 	NN 
sexual 	JJ 
sexually 	RB 
shade 	NN 
shadow 	NN 
shake 	NN 
shall 	MD 
shallow 	JJ 
shame 	NN 
shaped 	VBN 
shape 	NN 
share 	NN 
sharp 	JJ 
sharply 	RB 
shave 	VB 
sheep 	NN 
sheet 	NN 
shelf 	NN 
shell 	NN 
shelter 	NN 
she 	PRP 
shift 	NN 
shift 	VB 
shine 	VB 
shiny 	JJ 
ship 	NN 
shirt 	NN 
shocked 	VBD 
shocking 	JJ 
shock 	NN 
shoe 	NN 
shooting 	NN 
shoot 	NN 
shop 	NN 
shopping 	NN 
short 	JJ 
shortly 	RB 
shot 	VBN 
shoulder 	NN 
should 	MD 
shout 	NN 
shout 	VB 
shower 	NN 
show 	NN 
show 	VBP 
shut 	VBD 
shy 	JJ 
sick 	JJ 
side 	NN 
sideways 	RB 
sight 	NN 
signal 	NN 
signature 	NN 
significant 	JJ 
significantly 	RB 
sign 	NN 
sign 	VB 
silence 	NN 
silent 	JJ 
silk 	NN 
silly 	JJ 
silver 	NN 
similar 	JJ 
similarly 	RB 
simple 	JJ 
simply 	RB 
since 	IN 
sincere 	JJ 
sincerely 	RB 
singer 	NN 
singing 	NN 
single 	JJ 
sing 	VB 
sink 	NN 
sir 	NN 
sister 	NN 
site 	NN 
situation 	NN 
sit 	VBP 
size 	NN 
skilled 	JJ 
skillful 	JJ 
skillfully 	RB 
skill 	NN 
skin 	NN 
skirt 	NN 
sky 	NN 
sleep 	NN 
sleeve 	NN 
slice 	NN 
slide 	NN 
slight 	JJ 
slightly 	RB 
slip 	VBP 
slope 	NN 
slow 	JJ 
slowly 	RB 
small 	JJ 
smart 	JJ 
smash 	NN 
smash 	VBP 
smell 	NN 
smile 	NN 
smoke 	NN 
smoking 	NN 
smooth 	JJ 
smoothly 	RB 
snake 	NN 
snow 	NN 
soap 	NN 
social 	JJ 
socially 	RB 
society 	NN 
sock 	NN 
soft 	JJ 
softly 	RB 
software 	NN 
soil 	NN 
soldier 	NN 
solid 	JJ 
solution 	NN 
solve 	VB 
somebody 	NN 
some 	DT 
somehow 	RB 
someone 	NN 
something 	NN 
sometimes 	RB 
somewhat 	RB 
somewhere 	RB 
song 	NN 
son 	NN 
soon 	RB 
so 	RB 
sore 	JJ 
sorry 	JJ 
sort 	NN 
soul 	NN 
sound 	JJ 
sound 	NN 
soup 	NN 
source 	NN 
sour 	JJ 
southern 	JJ 
south 	JJ 
south 	RB 
space 	NN 
spare 	JJ 
speaker 	NN 
speak 	VBP 
specialist 	NN 
special 	JJ 
specially 	RB 
species 	NNS 
specifically 	RB 
specific 	JJ 
speech 	NN 
speed 	NN 
spelling 	NN 
spell 	NN 
spend 	VBP 
spice 	NN 
spicy 	JJ 
spider 	NN 
spill 	NN 
spin 	VB 
spirit 	NN 
spiritual 	JJ 
spite 	NN 
split 	NN 
spoil 	VBP 
spoken 	VBN 
spoon 	NN 
sport 	NN 
spot 	NN 
spray 	NN 
spread 	VBD 
spring 	NN 
square 	JJ 
squeeze 	NN 
stable 	JJ 
staff 	NN 
stage 	NN 
stair 	NN 
stamp 	NN 
standard 	JJ 
stand 	NN 
stand 	VB 
stare 	VB 
star 	NN 
start 	NN 
statement 	NN 
state 	NN 
station 	NN 
statue 	NN 
status 	NN 
stay 	VB 
steadily 	RB 
steady 	JJ 
steal 	VBP 
steam 	NN 
steel 	NN 
steep 	JJ 
steeply 	RB 
steer 	VB 
step 	NN 
stick 	NN 
sticky 	JJ 
stiff 	NN 
still 	RB 
sting 	NN 
sting 	VBG 
stir 	VB 
stock 	NN 
stomach 	NN 
stone 	NN 
stop 	VB 
store 	NN 
storm 	NN 
story 	NN 
stove 	NN 
straight 	JJ 
strain 	NN 
strange 	JJ 
strangely 	RB 
stranger 	NN 
strategy 	NN 
stream 	NN 
street 	NN 
strength 	NN 
stressed 	VBD 
stress 	NN 
stretch 	NN 
strict 	JJ 
strictly 	RB 
strike 	NN 
strike 	VB 
striking 	JJ 
string 	NN 
striped 	VBD 
stripe 	NN 
strip 	NN 
stroke 	NN 
strong 	JJ 
strongly 	RB 
structure 	NN 
struggle 	NN 
student 	NN 
studio 	NN 
study 	NN 
stuff 	NN 
stupid 	JJ 
style 	NN 
subject 	JJ 
substance 	NN 
substantial 	JJ 
substantially 	RB 
substitute 	JJ 
substitute 	NN 
succeed 	VB 
successful 	JJ 
successfully 	RB 
success 	NN 
such 	JJ 
suck 	NN 
sudden 	JJ 
suddenly 	RB 
suffering 	VBG 
suffer 	VBP 
sufficient 	JJ 
sufficiently 	RB 
sugar 	NN 
suggestion 	NN 
suggest 	VBP 
suitable 	JJ 
suit 	NN 
summary 	NN 
summer 	NN 
sum 	NN 
Sunday 	NNP 
sun 	NN 
superior 	JJ 
supermarket 	NN 
supply 	NN 
supporter 	NN 
support 	NN 
suppose 	VBP 
sure 	JJ 
surely 	RB 
surface 	NN 
surgery 	NN 
surprised 	VBD 
surprise 	NN 
surprising 	JJ 
surprisingly 	RB 
surroundings 	NNS 
surrounding 	VBG 
surround 	VBP 
survey 	NN 
survive 	VBP 
suspect 	JJ 
suspicion 	NN 
suspicious 	JJ 
swallow 	VB 
swear 	VB 
sweater 	NN 
sweat 	NN 
sweep 	NN 
sweet 	JJ 
swelling 	VBG 
swell 	NN 
swimming 	NN 
swim 	VBP 
swing 	NN 
switch 	NN 
swollen 	JJ 
symbol 	NN 
sympathetic 	JJ 
sympathy 	NN 
system 	NN 
table 	NN 
tablet 	NN 
tackle 	VB 
tackle 	VBP 
tail 	NN 
take 	VB 
tale 	NN 
talent 	NN 
talk 	NN 
tall 	JJ 
tank 	NN 
tape 	NN 
tap 	NN 
target 	NN 
task 	NN 
taste 	NN 
taxi 	NN 
tax 	NN 
teacher 	NN 
teaching 	NN 
teach 	VBP 
team 	NN 
tea 	NN 
tear 	VB 
technical 	JJ 
technique 	NN 
technology 	NN 
television 	NN 
tell 	VBP 
temperature 	NN 
temporarily 	RB 
temporary 	JJ 
tendency 	NN 
tend 	VB 
tension 	NN 
tent 	NN 
term 	NN 
terrible 	JJ 
terribly 	RB 
territory 	NN 
terrorism 	NN 
terrorist 	JJ 
terror 	NN 
test 	NN 
text 	NN 
than 	IN 
thanks 	NNS 
thank 	VBP 
theater 	NN 
the 	DT 
their 	PRP$ 
theirs 	JJ 
theme 	NN 
them 	PRP 
themselves 	PRP 
then 	RB 
theory 	NN 
therefore 	RB 
there 	RB 
they 	PRP 
thick 	JJ 
thickly 	RB 
thickness 	NN 
thief 	NN 
thing 	NN 
thin 	JJ 
thinking 	VBG 
think 	VB 
thirsty 	IN 
this 	DT 
thorough 	JJ 
thoroughly 	RB 
though 	IN 
though 	RB 
thought 	VBN 
thread 	NN 
threatening 	VBG 
threaten 	VBP 
threat 	NN 
throat 	NN 
through 	IN 
throughout 	IN 
throw 	VB 
thumb 	NN 
Thursday 	NNP 
thus 	RB 
ticket 	NN 
tie 	JJ 
tie 	NN 
tight 	JJ 
tightly 	RB 
tight 	RB 
till 	IN 
time 	NN 
timetable 	NN 
tin 	NN 
tiny 	JJ 
tip 	NN 
tired 	JJ 
tire 	NN 
tiring 	VBG 
title 	NN 
today 	NN 
toe 	NN 
together 	RB 
toilet 	NN 
tomato 	NN 
tomorrow 	NN 
tone 	NN 
tongue 	NN 
tonight 	NN 
ton 	NN 
tool 	NN 
too 	RB 
tooth 	NN 
topic 	NN 
top 	JJ 
top 	NN 
total 	JJ 
totally 	RB 
to 	TO 
touch 	NN 
tough 	JJ 
tourist 	NN 
tour 	NN 
toward 	IN 
towards 	IN 
towel 	NN 
tower 	NN 
town 	NN 
toy 	NN 
trace 	NN 
track 	NN 
trade 	NN 
traditional 	JJ 
traditionally 	RB 
tradition 	NN 
traffic 	NN 
training 	NN 
train 	NN 
transfer 	NN 
transform 	VB 
transition 	NN 
translate 	VB 
translation 	NN 
transparent 	JJ 
transportation 	NN 
transport 	NN 
trap 	NN 
trash 	NN 
traveler 	NN 
travel 	NN 
treatment 	NN 
treat 	NN 
tree 	NN 
trend 	NN 
trial 	NN 
triangle 	NN 
trick 	NN 
trip 	NN 
troop 	NN 
tropical 	JJ 
trouble 	NN 
truck 	NN 
true 	JJ 
truly 	RB 
trust 	NN 
truth 	NN 
try 	VBP 
tube 	NN 
Tuesday 	NNP 
tune 	NN 
tunnel 	NN 
turn 	NN 
turn 	VB 
TV 	NN 
twice 	RB 
twin 	JJ 
twisted 	JJ 
twist 	NN 
type 	NN 
typical 	JJ 
typically 	RB 
ugly 	JJ 
ultimate 	JJ 
ultimately 	RB 
umbrella 	NN 
unable 	JJ 
unacceptable 	JJ 
uncertain 	JJ 
uncle 	NN 
uncomfortable 	JJ 
unconscious 	JJ 
uncontrolled 	JJ 
underground 	JJ 
under 	IN 
underneath 	IN 
understanding 	VBG 
understand 	VB 
underwater 	JJ 
underwear 	NN 
undo 	VBP 
unemployed 	JJ 
unemployment 	NN 
unexpected 	JJ 
unexpectedly 	RB 
unfair 	JJ 
unfairly 	RB 
unfortunate 	JJ 
unfortunately 	RB 
unfriendly 	JJ 
unhappiness 	NN 
unhappy 	JJ 
uniform 	JJ 
unimportant 	JJ 
