old_j	new_j   1.58
go_v	sell_v	0.97
communicate_v	pray_v	3.55
give_v	steal_v	0.5
add_v	build_v	4.92
bring_v	restore_v	2.62
comprehend_v	satisfy_v	2.55
portray_v	decide_v	1.18
organize_v	become_v	1.77
give_v	know_v	0.88
say_v	verify_v	4.9
cooperate_v	join_v	5.18
arrange_v	require_v	0.98
borrow_v	want_v	1.77
investigate_v	pursue_v	7.15
ignore_v	explore_v	0.4
bring_v	complain_v	0.98
enter_v	owe_v	0.68
portray_v	notify_v	0.78
remind_v	sell_v	0.4
absorb_v	possess_v	5
join_v	acquire_v	2.85
send_v	attend_v	1.67
gather_v	attend_v	4.8
absorb_v	withdraw_v	2.97
attend_v	arrive_v	6.08
